iter	Passed	Remaining
409	3805	5475
410	3814	5465
411	3822	5455
412	3831	5446
413	3841	5437
414	3850	5427
415	3858	5417
416	3868	5408
417	3878	5400
418	3887	5390
419	3896	5381
420	3905	5371
421	3915	5362
422	3932	5364
423	3947	5362
424	3960	5358
425	3972	5352
426	3981	5342
427	3991	5334
428	4002	5326
429	4010	5316
430	4018	5305
431	4027	5294
432	4035	5283
433	4044	5274
434	4053	5265
435	4062	5255
436	4072	5246
437	4081	5236
438	4089	5226
439	4098	5216
440	4107	5205
441	4115	5195
442	4124	5185
443	4133	5176
444	4142	5166
445	4151	5156
446	4160	5147
447	4169	5137
448	4178	5127
449	4187	5117
450	4196	5108
451	4205	5099
452	4215	5090
453	4224	5080
454	4233	5070
455	4241	5060
456	4250	5050
457	4259	5040
458	4267	5030
459	4276	5020
460	4285	5011
461	4294	5000
462	4303	4990
463	4311	4980
464	4320	4970
465	4328	4960
466	4337	4950
467	4346	4940
468	4354	4930
469	4363	4920
470	4371	4909
471	4380	4899
472	4388	4889
473	4397	4879
474	4405	4869
475	4414	4859
476	4422	4849
477	4431	4839
478	4440	4830
479	4449	4820
480	4458	4810
481	4466	4800
482	4474	4789
483	4483	4779
484	4492	4770
485	4502	4761
486	4512	4753
487	4521	4743
488	4531	4735
489	4540	4725
490	4549	4715
491	4558	4706
492	4568	4698
493	4577	4688
494	4586	4679
495	4595	4669
496	4604	4659
497	4613	4650
498	4622	4641
499	4631	4631
500	4640	4621
501	4649	4612
502	4658	4603
503	4667	4593
504	4676	4583
505	4684	4573
506	4692	4563
507	4701	4553
508	4710	4544
509	4719	4533
510	4728	4524
511	4736	4514
512	4744	4504
513	4753	4494
514	4761	4484
515	4770	4474
516	4779	4464
517	4787	4455
518	4795	4444
519	4804	4434
520	4812	4424
521	4820	4414
522	4828	4403
523	4837	4394
524	4845	4384
525	4854	4374
526	4862	4364
527	4871	4354
528	4879	4344
529	4888	4334
530	4896	4325
531	4905	4315
532	4913	4305
533	4922	4295
534	4931	4286
535	4939	4276
536	4947	4266
537	4956	4256
538	4965	4246
539	4973	4236
540	4982	4227
541	4990	4217
542	4998	4207
543	5008	4197
544	5016	4187
545	5025	4178
546	5033	4168
547	5042	4159
548	5053	4151
549	5061	4141
550	5070	4131
551	5079	4122
552	5087	4112
553	5096	4102
554	5104	4093
555	5113	4083
556	5121	4073
557	5130	4064
558	5139	4054
559	5148	4045
560	5157	4035
561	5166	4026
562	5174	4016
563	5183	4007
564	5191	3997
565	5200	3987
566	5208	3977
567	5217	3968
568	5226	3959
569	5235	3949
570	5243	3939
571	5251	3929
572	5259	3919
573	5267	3909
574	5276	3900
575	5284	3890
576	5293	3880
577	5301	3870
578	5310	3861
579	5319	3851
580	5328	3842
581	5336	3832
582	5344	3823
583	5353	3813
584	5362	3803
585	5370	3794
586	5380	3785
587	5388	3775
588	5397	3766
589	5405	3756
590	5414	3746
591	5422	3737
592	5431	3727
593	5440	3718
594	5449	3709
595	5459	3700
596	5468	3691
597	5478	3682
598	5486	3673
599	5495	3663
600	5504	3654
601	5512	3644
602	5520	3634
603	5528	3624
604	5537	3615
605	5545	3605
606	5553	3595
607	5562	3586
608	5571	3576
609	5579	3567
610	5588	3557
611	5596	3548
612	5605	3538
613	5614	3529
614	5623	3520
615	5631	3510
616	5640	3501
617	5649	3491
618	5657	3482
619	5666	3472
620	5674	3462
621	5682	3453
622	5691	3443
623	5699	3434
624	5707	3424
625	5716	3415
626	5725	3406
627	5735	3397
628	5744	3388
629	5753	3379
630	5762	3369
631	5772	3360
632	5780	3351
633	5789	3342
634	5798	3333
635	5806	3323
636	5814	3313
637	5822	3303
638	5832	3294
639	5841	3285
640	5849	3276
641	5857	3266
642	5866	3257
643	5875	3248
644	5884	3238
645	5894	3230
646	5902	3220
647	5911	3211
648	5919	3201
649	5929	3192
650	5937	3183
651	5946	3173
652	5955	3164
653	5964	3155
654	5972	3145
655	5981	3136
656	5990	3127
657	5998	3117
658	6006	3108
659	6014	3098
660	6022	3088
661	6030	3078
662	6038	3069
663	6047	3060
664	6055	3050
665	6063	3040
666	6071	3031
667	6079	3021
668	6088	3012
669	6097	3003
670	6105	2993
671	6113	2984
672	6121	2974
673	6129	2964
674	6137	2955
675	6146	2946
676	6155	2936
677	6163	2927
678	6171	2917
679	6180	2908
680	6188	2899
681	6197	2889
682	6206	2880
683	6214	2871
684	6222	2861
685	6230	2851
686	6238	2842
687	6247	2832
688	6255	2823
689	6263	2814
690	6273	2805
691	6281	2795
692	6289	2786
693	6298	2777
694	6307	2767
695	6315	2758
696	6323	2749
697	6331	2739
698	6340	2730
699	6347	2720
700	6355	2710
701	6364	2701
702	6372	2692
703	6381	2682
704	6389	2673
705	6398	2664
706	6406	2654
707	6414	2645
708	6422	2636
709	6433	2627
710	6441	2618
711	6450	2609
712	6458	2599
713	6467	2590
714	6476	2581
715	6485	2572
716	6494	2563
717	6503	2554
718	6511	2544
719	6520	2535
720	6529	2526
721	6538	2517
722	6547	2508
723	6556	2499
724	6565	2490
725	6573	2480
726	6582	2471
727	6590	2462
728	6599	2453
729	6608	2444
730	6617	2435
731	6626	2426
732	6636	2417
733	6645	2408
734	6653	2399
735	6662	2389
736	6671	2380
737	6681	2371
738	6689	2362
739	6697	2353
740	6706	2344
741	6715	2334
742	6724	2325
743	6733	2316
744	6741	2307
745	6750	2298
746	6759	2289
747	6768	2280
748	6777	2271
749	6785	2261
750	6795	2253
751	6804	2244
752	6815	2235
753	6825	2226
754	6834	2217
755	6844	2208
756	6853	2200
757	6863	2191
758	6873	2182
759	6883	2173
760	6892	2164
761	6901	2155
762	6912	2147
763	6921	2137
764	6929	2128
765	6938	2119
766	6947	2110
767	6955	2101
768	6964	2092
769	6972	2082
770	6981	2073
771	6989	2064
772	6998	2055
773	7007	2045
774	7015	2036
775	7023	2027
776	7034	2019
777	7043	2009
778	7051	2000
779	7060	1991
780	7068	1982
781	7076	1972
782	7085	1963
783	7093	1954
784	7101	1945
785	7110	1935
786	7118	1926
787	7126	1917
788	7135	1908
789	7143	1898
790	7151	1889
791	7160	1880
792	7169	1871
793	7177	1862
794	7186	1853
795	7195	1843
796	7203	1834
797	7213	1825
798	7223	1817
799	7232	1808
800	7242	1799
801	7252	1790
802	7261	1781
803	7270	1772
804	7279	1763
805	7287	1754
806	7297	1745
807	7306	1736
808	7315	1727
809	7323	1717
810	7332	1708
811	7341	1699
812	7349	1690
813	7357	1681
814	7366	1672
815	7374	1662
816	7383	1653
817	7391	1644
818	7399	1635
819	7408	1626
820	7416	1617
821	7425	1607
822	7433	1598
823	7441	1589
824	7450	1580
825	7458	1571
826	7465	1561
827	7473	1552
828	7481	1543
829	7489	1533
830	7497	1524
831	7505	1515
832	7513	1506
833	7522	1497
834	7531	1488
835	7539	1478
836	7546	1469
837	7554	1460
838	7562	1451
839	7571	1442
840	7579	1433
841	7587	1423
842	7596	1414
843	7604	1405
844	7612	1396
845	7620	1387
846	7628	1378
847	7636	1368
848	7644	1359
849	7652	1350
850	7660	1341
851	7668	1332
852	7677	1323
853	7685	1313
854	7694	1304
855	7703	1295
856	7711	1286
857	7720	1277
858	7728	1268
859	7737	1259
860	7745	1250
861	7754	1241
862	7762	1232
863	7771	1223
864	7779	1214
865	7787	1205
866	7795	1195
867	7803	1186
868	7812	1177
869	7821	1168
870	7829	1159
871	7837	1150
872	7845	1141
873	7853	1132
874	7860	1122
875	7870	1114
876	7878	1104
877	7887	1095
878	7895	1086
879	7903	1077
880	7911	1068
881	7920	1059
882	7928	1050
883	7937	1041
884	7944	1032
885	7954	1023
886	7961	1014
887	7970	1005
888	7978	996
889	7986	987
890	7994	978
891	8003	969
892	8011	960
893	8021	951
894	8029	942
895	8038	933
896	8046	923
897	8054	914
898	8063	905
899	8071	896
900	8079	887
901	8087	878
902	8096	869
903	8103	860
904	8112	851
905	8122	842
906	8132	833
907	8140	824
908	8150	815
909	8158	806
910	8168	797
911	8178	789
912	8186	780
913	8195	771
914	8204	762
915	8212	753
916	8220	744
917	8229	735
918	8237	726
919	8245	717
920	8253	707
921	8262	698
922	8270	689
923	8278	680
924	8286	671
925	8294	662
926	8302	653
927	8311	644
928	8319	635
929	8327	626
930	8335	617
931	8343	608
932	8351	599
933	8360	590
934	8368	581
935	8376	572
936	8384	563
937	8393	554
938	8401	545
939	8410	536
940	8418	527
941	8426	518
942	8433	509
943	8442	500
944	8450	491
945	8459	482
946	8467	473
947	8475	464
948	8483	455
949	8492	446
950	8500	437
951	8509	429
952	8517	420
953	8526	411
954	8534	402
955	8542	393
956	8550	384
957	8559	375
958	8566	366
959	8575	357
960	8583	348
961	8591	339
962	8599	330
963	8607	321
964	8615	312
965	8624	303
966	8632	294
967	8641	285
968	8648	276
969	8657	267
970	8665	258
971	8673	249
972	8682	240
973	8690	231
974	8697	223
975	8706	214
976	8714	205
977	8723	196
978	8731	187
979	8739	178
980	8748	169
981	8757	160
982	8766	151
983	8774	142
984	8783	133
985	8792	124
986	8801	115
987	8809	106
988	8818	98
989	8826	89
990	8834	80
991	8842	71
992	8850	62
993	8858	53
994	8866	44
995	8874	35
996	8884	26
997	8892	17
998	8900	8
999	8908	0
