iter	Logloss
0	0.6617973875
1	0.6338984978
2	0.6078624815
3	0.5839757279
4	0.5627862415
5	0.5443565436
6	0.5284808388
7	0.5115544783
8	0.4964216753
9	0.482145664
10	0.4703008367
11	0.4593358846
12	0.4483759024
13	0.438992429
14	0.4294615378
15	0.4216699828
16	0.4140293122
17	0.4066912838
18	0.3999682102
19	0.3940550661
20	0.3882427003
21	0.382904419
22	0.3784593438
23	0.3737268251
24	0.3692652864
25	0.3651679586
26	0.361754886
27	0.3579710692
28	0.3556097047
29	0.3527921723
30	0.3502057682
31	0.3478726305
32	0.3453547061
33	0.3421544797
34	0.3397964562
35	0.337640329
36	0.3358303476
37	0.3335827812
38	0.3316383486
39	0.3301551647
40	0.3286213528
41	0.3272723898
42	0.3258653665
43	0.3243184769
44	0.3231562223
45	0.3212484143
46	0.3191662988
47	0.3181213271
48	0.3166163261
49	0.3150330526
50	0.3142688603
51	0.312968624
52	0.3119983574
53	0.310984604
54	0.3101738796
55	0.3092170902
56	0.3078016624
57	0.3068951274
58	0.3058618928
59	0.3050474098
60	0.3041730301
61	0.3034691404
62	0.3029468136
63	0.3023715919
64	0.3016289418
65	0.3007284122
66	0.3000965581
67	0.2995581396
68	0.2988017292
69	0.2978552152
70	0.2972554386
71	0.2964603288
72	0.2959247401
73	0.2952737922
74	0.2946663264
75	0.2941642027
76	0.2937102483
77	0.2932847196
78	0.2926849315
79	0.2920138249
80	0.2913533717
81	0.2909350028
82	0.290487238
83	0.2899077645
84	0.2894840849
85	0.2885689456
86	0.2875829122
87	0.2868829679
88	0.2864636053
89	0.2862463515
90	0.2858302623
91	0.2855195522
92	0.2851175638
93	0.2845914261
94	0.2841493808
95	0.2836542989
96	0.2831774613
97	0.282861953
98	0.2826386893
99	0.2821905257
100	0.2815659202
101	0.2811359947
102	0.2808209405
103	0.2800123614
104	0.2793568497
105	0.278651734
106	0.278300423
107	0.2775877679
108	0.2771954852
109	0.2767955789
110	0.2761814659
111	0.2758998155
112	0.2755904879
113	0.2751947379
114	0.2748413745
115	0.2741941992
116	0.2737299554
117	0.2731860365
118	0.2729362922
119	0.272647255
120	0.2723800407
121	0.2719902044
122	0.2716426776
123	0.2711895883
124	0.2708038139
125	0.2703419032
126	0.2699980221
127	0.2697162924
128	0.2693633114
129	0.2690223384
130	0.2688292631
131	0.2685731836
132	0.2681062789
133	0.2678789564
134	0.2675714503
135	0.2671074634
136	0.2668717283
137	0.2663840659
138	0.2659317913
139	0.265730503
140	0.2653582636
141	0.2650303271
142	0.2647671855
143	0.2644981741
144	0.2641575927
145	0.2636676893
146	0.2634221485
147	0.263123329
148	0.2628322921
149	0.2624851477
150	0.2621454921
151	0.2618999997
152	0.2616307483
153	0.2611058532
154	0.2609474013
155	0.2606831009
156	0.2603461485
157	0.2601552074
158	0.2599944322
159	0.25959327
160	0.2594287772
161	0.2591616045
162	0.2589597194
163	0.2586603805
164	0.2584464763
165	0.2580376006
166	0.2578555667
167	0.2575986011
168	0.2573427401
169	0.2571155166
170	0.2565280448
171	0.2562760614
172	0.2559989548
173	0.2557815421
174	0.255593857
175	0.2553068579
176	0.2551410767
177	0.2548713561
178	0.2545211755
179	0.2542913586
180	0.2540726212
181	0.2535449449
182	0.2533304323
183	0.2532295813
184	0.2530191492
185	0.2527184084
186	0.2524992018
187	0.2522440233
188	0.2519014439
189	0.2516436645
190	0.2514089954
191	0.251142106
192	0.2509210882
193	0.2506215882
194	0.250470798
195	0.2503346825
196	0.2499614619
197	0.2498230083
198	0.2496163853
199	0.2493912271
200	0.2491596796
201	0.2488151685
202	0.248390817
203	0.2481820524
204	0.247941551
205	0.2476053646
206	0.2473852771
207	0.2472871431
208	0.247069692
209	0.2467014148
210	0.246311796
211	0.2461336454
212	0.2459543576
213	0.2457702994
214	0.2455991008
215	0.2450836137
216	0.2449449361
217	0.2446804059
218	0.2444497821
219	0.2442312254
220	0.2440381253
221	0.2436596645
222	0.2434796586
223	0.2433530827
224	0.2432015967
225	0.2426432283
226	0.242466122
227	0.2422248157
228	0.2420389518
229	0.241861649
230	0.2415706039
231	0.2413322167
232	0.2411002967
233	0.240859471
234	0.2406552191
235	0.2403063625
236	0.2399488194
237	0.239748566
238	0.2395726181
239	0.2393644171
240	0.2391917561
241	0.2390664243
242	0.2389656789
243	0.2387495941
244	0.2385047228
245	0.2382664279
246	0.2379814832
247	0.2377636407
248	0.2374865804
249	0.2373257043
250	0.2372250561
251	0.2369031294
252	0.2366611367
253	0.2363878666
254	0.2361660821
255	0.2358609471
256	0.2357611725
257	0.2354334289
258	0.2352032353
259	0.2349427476
260	0.2348147869
261	0.2345863883
262	0.234406982
263	0.2341380853
264	0.2339099535
265	0.233722479
266	0.233358788
267	0.233129957
268	0.2328814222
269	0.232533732
270	0.2322403036
271	0.2320099527
272	0.2318008897
273	0.2315206869
274	0.2313941645
275	0.2312970528
276	0.2310755099
277	0.2308772609
278	0.2307634252
279	0.2305618723
280	0.2303292247
281	0.2300953662
282	0.2299491777
283	0.2297470419
284	0.2295284891
285	0.2293888721
286	0.2291529839
287	0.2289461177
288	0.2287469076
289	0.2285924356
290	0.2283916318
291	0.228115
292	0.2279858342
293	0.2278052729
294	0.2276350767
295	0.2274713111
296	0.2272772169
297	0.2270723341
298	0.2269128999
299	0.2267899181
300	0.2266860714
301	0.2264921746
302	0.2263041443
303	0.226121856
304	0.2258055788
305	0.2256548876
306	0.2253664209
307	0.2252319986
308	0.2250701383
309	0.2248601812
310	0.2246867587
311	0.2245202407
312	0.2241636301
313	0.2239613752
314	0.2238217073
315	0.2235892491
316	0.2234140655
317	0.2232429892
318	0.2230002902
319	0.2227521961
320	0.2225869245
321	0.2222247084
322	0.2218968467
323	0.221668238
324	0.2213545089
325	0.2211252472
326	0.220715033
327	0.2205977903
328	0.2204837735
329	0.2203010688
330	0.2200566234
331	0.2198872655
332	0.2196581229
333	0.2194430224
334	0.2192000388
335	0.2190446295
336	0.2188065144
337	0.2186414602
338	0.218300552
339	0.2180611586
340	0.2176837004
341	0.217477134
342	0.2172743231
343	0.2170666351
344	0.2168626231
345	0.216687954
346	0.2165216174
347	0.2161700029
348	0.216020917
349	0.21583349
350	0.215517911
351	0.2153596539
352	0.215089802
353	0.2149258541
354	0.2147643402
355	0.2146724694
356	0.2144866045
357	0.2143103486
358	0.2141897583
359	0.2140401727
360	0.2138710649
361	0.2135916772
362	0.2134287224
363	0.2131514926
364	0.2129635282
365	0.2128249198
366	0.2125111665
367	0.2123470167
368	0.2122031927
369	0.2119369016
370	0.2117812395
371	0.2116753388
372	0.2115262813
373	0.2113421825
374	0.2112402241
375	0.2109818562
376	0.2108462857
377	0.2107121789
378	0.2106205052
379	0.2104148653
380	0.2102566591
381	0.2099936612
382	0.2098455079
383	0.209681191
384	0.2095372894
385	0.2093655853
386	0.2089430914
387	0.2088185869
388	0.2085932475
389	0.2083891687
390	0.2079961499
391	0.2078766672
392	0.2077397298
393	0.2075878531
394	0.2073029829
395	0.2070603711
396	0.2068005911
397	0.2066705135
398	0.2065048009
399	0.2060838352
400	0.2059158555
401	0.2058012636
402	0.2056290539
403	0.2054986318
404	0.2053680633
405	0.2052205826
406	0.205024601
407	0.2048360667
408	0.2046315291
409	0.2043980256
410	0.2042688174
411	0.2041441919
412	0.2039181883
413	0.2038153617
414	0.2036689091
415	0.2035525119
416	0.203270032
417	0.2030922898
418	0.2030068776
419	0.2028807662
420	0.2026665244
421	0.2025205967
422	0.2023013403
423	0.2021463665
424	0.2017866306
425	0.2016701674
426	0.2015782771
427	0.2014213117
428	0.2011930671
429	0.2010965403
430	0.2009340487
431	0.2008209611
432	0.2006498368
433	0.200531077
434	0.2004167425
435	0.2003024226
436	0.2002071874
437	0.2000561341
438	0.1999512419
439	0.1997882467
440	0.1996506283
441	0.1994427367
442	0.1993422423
443	0.1992438127
444	0.1991146522
445	0.1990234923
446	0.1988360931
447	0.1987244768
448	0.1985551736
449	0.1984400392
450	0.1983335429
451	0.1982117729
452	0.1980454488
453	0.1978718598
454	0.1976572996
455	0.1974958306
456	0.197298287
457	0.1971998949
458	0.1970645636
459	0.1968267892
460	0.1966425572
461	0.196470872
462	0.1963827788
463	0.1962960932
464	0.1961419346
465	0.1959374676
466	0.1958551856
467	0.195661144
468	0.1954894506
469	0.1953850722
470	0.1949810942
471	0.1947962563
472	0.1946029262
473	0.1944877918
474	0.1943894383
475	0.1941994694
476	0.1939145803
477	0.1937111307
478	0.1934705884
479	0.193305235
480	0.1931114869
481	0.1929719956
482	0.1928491501
483	0.1927759168
484	0.1926352074
485	0.1924546488
486	0.1923742812
